nohup: les entrées sont ignorées

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-11-10 11:58:31 ................................................... ~ 3s
  2025-11-10 12:01:35 ................................................... ~ 0s
  2025-11-10 12:01:35 ................................................... ~ 0s
  2025-11-10 12:02:36 ................................................... ~ 1s
  2025-11-10 12:02:59 ................................................... ~ 2s
  2025-11-10 12:03:16 ................................................... ~ 1s
  2025-11-10 12:03:36 ................................................... ~ 2s
  2025-11-10 12:05:42 ................................................... ~ 2s

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-11-10 12:10:29 ................................................... ~ 3s
  2025-11-10 12:13:36 ................................................... ~ 2s
  2025-11-10 12:13:56 ................................................... ~ 1s
  2025-11-10 12:21:37 ................................................... ~ 1s
  2025-11-10 12:22:01 ................................................... ~ 2s
  2025-11-10 12:28:02 ................................................... ~ 0s
  2025-11-10 12:28:13 ................................................... ~ 1s
  2025-11-10 12:28:35 ................................................... ~ 0s
  2025-11-10 12:28:37 ................................................... ~ 0s
  2025-11-10 12:34:12 ................................................... ~ 1s
  2025-11-10 12:34:59 ................................................... ~ 2s
  2025-11-10 12:36:39 ................................................... ~ 1s
  2025-11-10 12:36:58 ................................................... ~ 2s
  2025-11-10 12:38:08 ................................................... ~ 2s
  2025-11-10 12:38:22 ................................................... ~ 8s
  2025-11-10 12:42:31 ................................................... ~ 3s
  2025-11-10 12:58:36 ................................................... ~ 3s
  2025-11-10 13:03:51 ................................................... ~ 2s
  2025-11-10 13:06:32 ................................................... ~ 3s
  2025-11-10 13:07:20 ................................................... ~ 3s
  2025-11-10 13:24:35 ................................................... ~ 3s
  2025-11-10 13:25:48 ................................................... ~ 1s
  2025-11-10 13:32:10 ................................................... ~ 2s
  2025-11-10 13:32:39 ................................................... ~ 2s
  2025-11-10 13:33:46 ................................................... ~ 6s
